Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	5.14961   	0.001000	5.04322   	0.001000	5.17104   	0.001000	5.17104   	0.001000	1.61784   	0.001000	3.42538   	
0.002000	5.23849   	0.002000	5.07053   	0.002000	5.24319   	0.002000	5.24319   	0.002000	2.11992   	0.002000	2.95061   	
0.005000	5.52546   	0.005000	5.12844   	0.005000	5.39379   	0.005000	5.39379   	0.005000	3.03311   	0.005000	2.09532   	
0.008000	5.87576   	0.008000	5.30662   	0.008000	5.6417    	0.008000	5.6417    	0.008000	3.64643   	0.008000	1.66018   	
0.010000	6.10919   	0.010000	5.44933   	0.010000	5.82468   	0.010000	5.82468   	0.010000	3.98001   	0.010000	1.46932   	
0.015000	6.96986   	0.015000	5.87217   	0.015000	6.31798   	0.015000	6.31798   	0.015000	4.71485   	0.015000	1.15732   	
0.020000	7.78122   	0.020000	6.41399   	0.020000	6.98517   	0.020000	6.98517   	0.020000	5.44829   	0.020000	0.965695  	
0.025000	8.73365   	0.025000	7.09614   	0.025000	7.69593   	0.025000	7.69593   	0.025000	6.26187   	0.025000	0.834271  	
0.030000	9.60369   	0.030000	7.78526   	0.030000	8.3588    	0.030000	8.3588    	0.030000	7.04755   	0.030000	0.737718  	
0.035000	10.3685   	0.035000	8.46816   	0.035000	9.02017   	0.035000	9.02017   	0.035000	7.8048    	0.035000	0.66336   	
0.040000	11.0263   	0.040000	9.13327   	0.040000	9.67051   	0.040000	9.67051   	0.040000	8.53239   	0.040000	0.60088   	
0.045000	11.5633   	0.045000	9.78015   	0.045000	10.3111   	0.045000	10.3111   	0.045000	9.22896   	0.045000	0.551196  	
0.050000	11.9288   	0.050000	10.3702   	0.050000	10.9379   	0.050000	10.9379   	0.050000	9.85977   	0.050000	0.510392  	
0.055000	12.557    	0.055000	11.0035   	0.055000	11.5489   	0.055000	11.5489   	0.055000	10.5272   	0.055000	0.476329  	
0.060000	13.1171   	0.060000	11.6179   	0.060000	12.1419   	0.060000	12.1419   	0.060000	11.171    	0.060000	0.446959  	
0.070000	14.0438   	0.070000	12.784    	0.070000	13.2706   	0.070000	13.2706   	0.070000	12.3853   	0.070000	0.398785  	
0.080000	15.0379   	0.080000	13.8457   	0.080000	14.3198   	0.080000	14.3198   	0.080000	13.4849   	0.080000	0.36082   	
0.090000	15.87     	0.090000	14.8127   	0.090000	15.2884   	0.090000	15.2884   	0.090000	14.4827   	0.090000	0.330046  	
0.100000	16.5758   	0.100000	15.6866   	0.100000	16.1778   	0.100000	16.1778   	0.100000	15.3821   	0.100000	0.304542  	
0.120000	17.3156   	0.120000	17.2098   	0.120000	17.7309   	0.120000	17.7309   	0.120000	16.9452   	0.120000	0.264602  	
0.140000	17.8667   	0.140000	18.4363   	0.140000	19.0118   	0.140000	19.0118   	0.140000	18.2017   	0.140000	0.23464   	
0.160000	18.3532   	0.160000	19.4241   	0.160000	20.0589   	0.160000	20.0589   	0.160000	19.2128   	0.160000	0.211251  	
0.180000	18.8327   	0.180000	20.2265   	0.180000	20.9108   	0.180000	20.9108   	0.180000	20.0341   	0.180000	0.192438  	
