Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	19.1785   	4.500000	23.4616   	4.500000	24.3731   	4.500000	24.3731   	4.500000	23.4427   	4.500000	0.0189292 	
5.000000	18.1278   	5.000000	22.3433   	5.000000	23.2295   	5.000000	23.2295   	5.000000	22.3261   	5.000000	0.0172608 	
5.500000	17.1907   	5.500000	21.3487   	5.500000	22.1912   	5.500000	22.1912   	5.500000	21.3328   	5.500000	0.0158764 	
6.000000	16.3506   	6.000000	20.4392   	6.000000	21.2443   	6.000000	21.2443   	6.000000	20.4245   	6.000000	0.0147079 	
6.500000	15.5936   	6.500000	19.604    	6.500000	20.3772   	6.500000	20.3772   	6.500000	19.5903   	6.500000	0.0137078 	
7.000000	14.9079   	7.000000	18.8346   	7.000000	19.5802   	7.000000	19.5802   	7.000000	18.8218   	7.000000	0.0128415 	
7.500000	14.2841   	7.500000	18.124    	7.500000	18.845    	7.500000	18.845    	7.500000	18.1119   	7.500000	0.0120834 	
8.000000	13.7141   	8.000000	17.4656   	8.000000	18.1646   	8.000000	18.1646   	8.000000	17.4542   	8.000000	0.0114142 	
8.500000	13.1913   	8.500000	16.8541   	8.500000	17.5331   	8.500000	17.5331   	8.500000	16.8433   	8.500000	0.0108188 	
9.000000	12.7098   	9.000000	16.2847   	9.000000	16.9452   	9.000000	16.9452   	9.000000	16.2744   	9.000000	0.0102854 	
9.500000	12.2651   	9.500000	15.7531   	9.500000	16.3966   	9.500000	16.3966   	9.500000	15.7433   	9.500000	0.00980476	
10.000000	11.8529   	10.000000	15.469    	10.000000	15.8833   	10.000000	15.8833   	10.000000	15.4597   	10.000000	0.00936919	
11.000000	11.1128   	11.000000	14.6192   	11.000000	14.9008   	11.000000	14.9688   	11.000000	14.6106   	11.000000	0.00860979	
12.000000	10.4669   	12.000000	13.8593   	12.000000	14.0378   	12.000000	14.1567   	12.000000	13.8514   	12.000000	0.00796959	
13.000000	9.89808   	13.000000	13.1764   	13.000000	13.2738   	13.000000	13.4309   	13.000000	13.169    	13.000000	0.00742217	
14.000000	9.39304   	14.000000	12.5596   	14.000000	12.5929   	14.000000	12.7787   	14.000000	12.5526   	14.000000	0.00694844	
15.000000	8.9415    	15.000000	12        	15.000000	11.9822   	15.000000	12.1896   	15.000000	11.9935   	15.000000	0.00653423	
16.000000	8.53525   	16.000000	11.4901   	16.000000	11.4319   	16.000000	11.6551   	16.000000	11.484    	16.000000	0.00616883	
17.000000	8.16769   	17.000000	11.0238   	17.000000	10.9336   	17.000000	11.1681   	17.000000	11.0179   	17.000000	0.00584397	
18.000000	7.83346   	18.000000	10.5956   	18.000000	10.4804   	18.000000	10.7228   	18.000000	10.59     	18.000000	0.00555315	
19.000000	7.52814   	19.000000	10.2011   	19.000000	10.0664   	19.000000	10.3141   	19.000000	10.1958   	19.000000	0.00529121	
20.000000	7.24808   	20.000000	9.8366    	20.000000	9.68714   	20.000000	9.93802   	20.000000	9.83155   	20.000000	0.00505398	
21.000000	6.99022   	21.000000	9.49874   	21.000000	9.33856   	21.000000	9.59086   	21.000000	9.4939    	21.000000	0.00483808	
22.000000	6.75196   	22.000000	9.18473   	22.000000	9.01714   	22.000000	9.26959   	22.000000	9.18009   	22.000000	0.0046407 	
23.000000	6.53113   	23.000000	8.89214   	23.000000	8.72003   	23.000000	8.97158   	23.000000	8.88768   	23.000000	0.00445953	
24.000000	6.32583   	24.000000	8.61886   	24.000000	8.44483   	24.000000	8.69452   	24.000000	8.61457   	24.000000	0.00429262	
25.000000	6.13447   	25.000000	8.36305   	25.000000	8.18941   	25.000000	8.43643   	25.000000	8.35891   	25.000000	0.00413832	
27.000000	5.78812   	27.000000	7.89754   	27.000000	7.73035   	27.000000	7.97036   	27.000000	7.89368   	27.000000	0.00386216	
29.000000	5.48294   	29.000000	7.48483   	29.000000	7.33014   	29.000000	7.5617    	29.000000	7.48121   	29.000000	0.00362206	
31.000000	5.21187   	31.000000	7.11642   	31.000000	6.97825   	31.000000	7.18997   	31.000000	7.113     	31.000000	0.00341131	
33.000000	4.96942   	33.000000	6.78554   	33.000000	6.66224   	33.000000	6.84724   	33.000000	6.78232   	33.000000	0.00322476	
35.000000	4.75119   	35.000000	6.48676   	35.000000	6.37599   	35.000000	6.53865   	35.000000	6.4837    	35.000000	0.00305841	
38.000000	4.46178   	38.000000	6.08923   	38.000000	5.99448   	38.000000	6.12935   	38.000000	6.08639   	38.000000	0.00284002	
41.000000	4.20985   	41.000000	5.74218   	41.000000	5.66085   	41.000000	5.77319   	41.000000	5.73953   	41.000000	0.00265197	
44.000000	3.98845   	44.000000	5.43658   	44.000000	5.36662   	44.000000	5.46042   	44.000000	5.43409   	44.000000	0.00248826	
47.000000	3.79226   	47.000000	5.16541   	47.000000	5.10444   	47.000000	5.18354   	47.000000	5.16307   	47.000000	0.00234439	
50.000000	3.61713   	50.000000	4.92317   	50.000000	4.86995   	50.000000	4.93668   	50.000000	4.92095   	50.000000	0.00221691	
55.000000	3.36345   	55.000000	4.57214   	55.000000	4.52979   	55.000000	4.57977   	55.000000	4.5701    	55.000000	0.00203385	
60.000000	3.14797   	60.000000	4.27406   	60.000000	4.23991   	60.000000	4.27739   	60.000000	4.27218   	60.000000	0.00187982	
65.000000	2.96253   	65.000000	4.01777   	65.000000	3.99014   	65.000000	4.01788   	65.000000	4.01603   	65.000000	0.00174834	
70.000000	2.80115   	70.000000	3.79505   	70.000000	3.7727    	70.000000	3.79269   	70.000000	3.79341   	70.000000	0.00163474	
75.000000	2.65935   	75.000000	3.59968   	75.000000	3.58179   	75.000000	3.59539   	75.000000	3.59815   	75.000000	0.00153556	
80.000000	2.53371   	80.000000	3.42691   	80.000000	3.41248   	80.000000	3.42109   	80.000000	3.42547   	80.000000	0.00144819	
85.000000	2.42156   	85.000000	3.27302   	85.000000	3.26162   	85.000000	3.26595   	85.000000	3.27165   	85.000000	0.0013706 	
90.000000	2.3208    	90.000000	3.13507   	90.000000	3.12596   	90.000000	3.12698   	90.000000	3.13377   	90.000000	0.00130123	
95.000000	2.22973   	95.000000	3.01068   	95.000000	3.00363   	95.000000	3.00175   	95.000000	3.00945   	95.000000	0.00123881	
100.000000	2.14701   	100.000000	2.89796   	100.000000	2.8924    	100.000000	2.88831   	100.000000	2.89678   	100.000000	0.00118233	
105.000000	2.0715    	105.000000	2.79532   	105.000000	2.79145   	105.000000	2.78506   	105.000000	2.79419   	105.000000	0.00113099	
110.000000	2.00229   	110.000000	2.70146   	110.000000	2.69859   	110.000000	2.69069   	110.000000	2.70038   	110.000000	0.00108408	
115.000000	1.93859   	115.000000	2.61531   	115.000000	2.61346   	115.000000	2.60409   	115.000000	2.61427   	115.000000	0.00104107	
120.000000	1.87977   	120.000000	2.53594   	120.000000	2.53499   	120.000000	2.52433   	120.000000	2.53493   	120.000000	0.00100147	
125.000000	1.82527   	125.000000	2.46258   	125.000000	2.46235   	125.000000	2.45064   	125.000000	2.46161   	125.000000	0.000964894	
130.000000	1.77461   	130.000000	2.39457   	130.000000	2.39521   	130.000000	2.38233   	130.000000	2.39364   	130.000000	0.000930999	
135.000000	1.7274    	135.000000	2.33134   	135.000000	2.33262   	135.000000	2.31885   	135.000000	2.33044   	135.000000	0.000899497	
140.000000	1.68329   	140.000000	2.27241   	140.000000	2.27405   	140.000000	2.2597    	140.000000	2.27154   	140.000000	0.000870141	
145.000000	1.64198   	145.000000	2.21735   	145.000000	2.21933   	145.000000	2.20444   	145.000000	2.21651   	145.000000	0.000842715	
150.000000	1.60319   	150.000000	2.16579   	150.000000	2.16825   	150.000000	2.15271   	150.000000	2.16497   	150.000000	0.000817034	
155.000000	1.54842   	155.000000	2.11741   	155.000000	2.1202    	155.000000	2.10417   	155.000000	2.11661   	155.000000	0.000792932	
160.000000	1.51639   	160.000000	2.07191   	160.000000	2.07492   	160.000000	2.05855   	160.000000	2.07114   	160.000000	0.000770268	
