Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	4.83717   	0.001000	4.74549   	0.001000	4.83278   	0.001000	4.83278   	0.001000	1.51815   	0.001000	3.22734   	
0.002000	4.90007   	0.002000	4.7444    	0.002000	4.86352   	0.002000	4.86352   	0.002000	1.98927   	0.002000	2.75513   	
0.005000	5.16127   	0.005000	4.78114   	0.005000	4.96841   	0.005000	4.96841   	0.005000	2.84614   	0.005000	1.935     	
0.008000	5.49274   	0.008000	4.94752   	0.008000	5.18743   	0.008000	5.18743   	0.008000	3.42162   	0.008000	1.5259    	
0.010000	5.71406   	0.010000	5.08239   	0.010000	5.35309   	0.010000	5.35309   	0.010000	3.73461   	0.010000	1.34777   	
0.015000	6.52644   	0.015000	5.48209   	0.015000	5.81032   	0.015000	5.81032   	0.015000	4.42393   	0.015000	1.05817   	
0.020000	7.2914    	0.020000	5.9928    	0.020000	6.44592   	0.020000	6.44592   	0.020000	5.11159   	0.020000	0.881204  	
0.025000	8.18837   	0.025000	6.63492   	0.025000	7.12495   	0.025000	7.12495   	0.025000	5.8747    	0.025000	0.760222  	
0.030000	9.00278   	0.030000	7.28343   	0.030000	7.76143   	0.030000	7.76143   	0.030000	6.61189   	0.030000	0.671537  	
0.035000	9.72794   	0.035000	7.92602   	0.035000	8.39739   	0.035000	8.39739   	0.035000	7.32267   	0.035000	0.603353  	
0.040000	10.3475   	0.040000	8.55208   	0.040000	9.02369   	0.040000	9.02369   	0.040000	8.00587   	0.040000	0.546208  	
0.045000	10.8054   	0.045000	9.13612   	0.045000	9.64093   	0.045000	9.64093   	0.045000	8.63535   	0.045000	0.500767  	
0.050000	11.1505   	0.050000	9.67377   	0.050000	10.2454   	0.050000	10.2454   	0.050000	9.21031   	0.050000	0.463463  	
0.055000	11.7415   	0.055000	10.2689   	0.055000	10.8348   	0.055000	10.8348   	0.055000	9.83658   	0.055000	0.432335  	
0.060000	12.2691   	0.060000	10.8467   	0.060000	11.4073   	0.060000	11.4073   	0.060000	10.4412   	0.060000	0.405516  	
0.070000	13.1434   	0.070000	11.9444   	0.070000	12.4974   	0.070000	12.4974   	0.070000	11.5828   	0.070000	0.361569  	
0.080000	14.0814   	0.080000	12.9451   	0.080000	13.5113   	0.080000	13.5113   	0.080000	12.6182   	0.080000	0.326972  	
0.090000	14.8679   	0.090000	13.8579   	0.090000	14.4477   	0.090000	14.4477   	0.090000	13.5589   	0.090000	0.298952  	
0.100000	15.5362   	0.100000	14.6838   	0.100000	15.3075   	0.100000	15.3075   	0.100000	14.408    	0.100000	0.275747  	
0.120000	16.2425   	0.120000	16.1257   	0.120000	16.8088   	0.120000	16.8088   	0.120000	15.8863   	0.120000	0.239437  	
0.140000	16.7708   	0.140000	17.2895   	0.140000	18.046    	0.140000	18.046    	0.140000	17.0773   	0.140000	0.212224  	
0.160000	17.2374   	0.160000	18.2288   	0.160000	19.056    	0.160000	19.056    	0.160000	18.0378   	0.160000	0.190996  	
0.180000	17.6962   	0.180000	18.9931   	0.180000	19.876    	0.180000	19.876    	0.180000	18.8192   	0.180000	0.173929  	
