Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	15.9055   	4.500000	19.784    	4.500000	20.5246   	4.500000	20.5246   	4.500000	19.7686   	4.500000	0.0153941 	
5.000000	14.9999   	5.000000	18.7802   	5.000000	19.5053   	5.000000	19.5053   	5.000000	18.7662   	5.000000	0.0140345 	
5.500000	14.1964   	5.500000	17.8946   	5.500000	18.585    	5.500000	18.585    	5.500000	17.8817   	5.500000	0.0129065 	
6.000000	13.4791   	6.000000	17.0887   	6.000000	17.7497   	6.000000	17.7497   	6.000000	17.0767   	6.000000	0.0119547 	
6.500000	12.8351   	6.500000	16.3526   	6.500000	16.9883   	6.500000	16.9883   	6.500000	16.3415   	6.500000	0.0111402 	
7.000000	12.2537   	7.000000	15.678    	7.000000	16.2913   	7.000000	16.2913   	7.000000	15.6676   	7.000000	0.0104348 	
7.500000	11.7262   	7.500000	15.0575   	7.500000	15.6508   	7.500000	15.6508   	7.500000	15.0477   	7.500000	0.00981761	
8.000000	11.2454   	8.000000	14.485    	8.000000	15.0601   	8.000000	15.0601   	8.000000	14.4757   	8.000000	0.00927284	
8.500000	10.8054   	8.500000	13.9551   	8.500000	14.5135   	8.500000	14.5135   	8.500000	13.9463   	8.500000	0.00878824	
9.000000	10.4011   	9.000000	13.4632   	9.000000	14.0063   	9.000000	14.0063   	9.000000	13.4548   	9.000000	0.00835419	
9.500000	10.0282   	9.500000	13.0054   	9.500000	13.5342   	9.500000	13.5342   	9.500000	12.9975   	9.500000	0.00796306	
10.000000	9.68333   	10.000000	12.7542   	10.000000	13.0937   	10.000000	13.0937   	10.000000	12.7466   	10.000000	0.00760867	
11.000000	9.06542   	11.000000	12.0249   	11.000000	12.2606   	11.000000	12.3087   	11.000000	12.0179   	11.000000	0.00699091	
12.000000	8.52762   	12.000000	11.376    	12.000000	11.5311   	12.000000	11.6148   	12.000000	11.3695   	12.000000	0.0064702 	
13.000000	8.05508   	13.000000	10.7953   	13.000000	10.8872   	13.000000	10.9971   	13.000000	10.7893   	13.000000	0.00602503	
14.000000	7.63644   	14.000000	10.2728   	14.000000	10.3149   	14.000000	10.444    	14.000000	10.2672   	14.000000	0.00563983	
15.000000	7.26284   	15.000000	9.80045   	15.000000	9.80274   	15.000000	9.94617   	15.000000	9.79515   	15.000000	0.00530309	
16.000000	6.92727   	16.000000	9.37137   	16.000000	9.34217   	16.000000	9.49579   	16.000000	9.36636   	16.000000	0.00500606	
17.000000	6.62412   	17.000000	8.97996   	17.000000	8.92598   	17.000000	9.0866    	17.000000	8.97522   	17.000000	0.00474202	
18.000000	6.34884   	18.000000	8.62153   	18.000000	8.54801   	18.000000	8.71337   	18.000000	8.61703   	18.000000	0.00450567	
19.000000	6.09768   	19.000000	8.2921    	19.000000	8.20331   	19.000000	8.37172   	19.000000	8.28781   	19.000000	0.00429281	
20.000000	5.86757   	20.000000	7.98832   	20.000000	7.8879    	20.000000	8.05795   	20.000000	7.98422   	20.000000	0.00410005	
21.000000	5.65592   	21.000000	7.70731   	21.000000	7.59844   	21.000000	7.76893   	21.000000	7.70339   	21.000000	0.00392463	
22.000000	5.46055   	22.000000	7.44662   	22.000000	7.33211   	22.000000	7.50198   	22.000000	7.44286   	22.000000	0.00376428	
23.000000	5.27964   	23.000000	7.20413   	23.000000	7.08628   	23.000000	7.25481   	23.000000	7.20052   	23.000000	0.00361711	
24.000000	5.11159   	24.000000	6.97801   	24.000000	6.85861   	24.000000	7.02541   	24.000000	6.97453   	24.000000	0.00348153	
25.000000	4.95507   	25.000000	6.76666   	25.000000	6.64731   	25.000000	6.81205   	25.000000	6.7633    	25.000000	0.0033562 	
27.000000	4.6721    	27.000000	6.38283   	27.000000	6.26842   	27.000000	6.42761   	27.000000	6.3797    	27.000000	0.00313191	
29.000000	4.42309   	29.000000	6.04337   	29.000000	5.93893   	29.000000	6.09143   	29.000000	6.04044   	29.000000	0.00293694	
31.000000	4.20217   	31.000000	5.74102   	31.000000	5.64855   	31.000000	5.78719   	31.000000	5.73825   	31.000000	0.00276582	
33.000000	4.00478   	33.000000	5.47001   	33.000000	5.38742   	33.000000	5.50796   	33.000000	5.46739   	33.000000	0.00261436	
35.000000	3.82728   	35.000000	5.22571   	35.000000	5.15129   	35.000000	5.25694   	35.000000	5.22323   	35.000000	0.00247931	
38.000000	3.59212   	38.000000	4.9013    	38.000000	4.838     	38.000000	4.92458   	38.000000	4.899     	38.000000	0.00230204	
41.000000	3.38765   	41.000000	4.61867   	41.000000	4.56424   	41.000000	4.63588   	41.000000	4.61652   	41.000000	0.00214941	
44.000000	3.20813   	44.000000	4.37023   	44.000000	4.32355   	44.000000	4.38275   	44.000000	4.36822   	44.000000	0.00201656	
47.000000	3.04919   	47.000000	4.15013   	47.000000	4.10968   	47.000000	4.15896   	47.000000	4.14823   	47.000000	0.00189982	
50.000000	2.90741   	50.000000	3.95377   	50.000000	3.91859   	50.000000	3.95965   	50.000000	3.95198   	50.000000	0.00179639	
55.000000	2.70224   	55.000000	3.66967   	55.000000	3.64187   	55.000000	3.67185   	55.000000	3.66803   	55.000000	0.00164786	
60.000000	2.52813   	60.000000	3.42883   	60.000000	3.40645   	60.000000	3.42834   	60.000000	3.4273    	60.000000	0.00152292	
65.000000	2.37842   	65.000000	3.22203   	65.000000	3.20383   	65.000000	3.21956   	65.000000	3.22061   	65.000000	0.00141628	
70.000000	2.24823   	70.000000	3.04251   	70.000000	3.02803   	70.000000	3.03854   	70.000000	3.04119   	70.000000	0.00132415	
75.000000	2.1339    	75.000000	2.88519   	75.000000	2.87355   	75.000000	2.88005   	75.000000	2.88395   	75.000000	0.00124372	
80.000000	2.03266   	80.000000	2.74618   	80.000000	2.73697   	80.000000	2.7401    	80.000000	2.74501   	80.000000	0.00117287	
85.000000	1.94233   	85.000000	2.62244   	85.000000	2.61502   	85.000000	2.6156    	85.000000	2.62133   	85.000000	0.00110996	
90.000000	1.86121   	90.000000	2.51158   	90.000000	2.50575   	90.000000	2.50411   	90.000000	2.51052   	90.000000	0.00105372	
95.000000	1.78793   	95.000000	2.41167   	95.000000	2.40724   	95.000000	2.40368   	95.000000	2.41067   	95.000000	0.00100311	
100.000000	1.72138   	100.000000	2.32116   	100.000000	2.31772   	100.000000	2.31273   	100.000000	2.32021   	100.000000	0.000957336	
105.000000	1.66065   	105.000000	2.23878   	105.000000	2.23621   	105.000000	2.22997   	105.000000	2.23787   	105.000000	0.000915713	
110.000000	1.605     	110.000000	2.16348   	110.000000	2.16173   	110.000000	2.15434   	110.000000	2.1626    	110.000000	0.000877698	
