Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	5.19152   	0.001000	5.61393   	0.001000	5.66697   	0.001000	5.66697   	0.001000	1.48565   	0.001000	4.12828   	
0.002000	5.26705   	0.002000	5.30532   	0.002000	5.55464   	0.002000	5.55464   	0.002000	1.92665   	0.002000	3.37867   	
0.005000	5.54      	0.005000	4.97333   	0.005000	5.69715   	0.005000	5.69715   	0.005000	2.71663   	0.005000	2.2567    	
0.008000	5.8855    	0.008000	4.98255   	0.008000	6.09416   	0.008000	6.09416   	0.008000	3.24023   	0.008000	1.74232   	
0.010000	6.11717   	0.010000	5.04839   	0.010000	6.39085   	0.010000	6.39085   	0.010000	3.52303   	0.010000	1.52535   	
0.015000	6.97536   	0.015000	5.28221   	0.015000	7.13961   	0.015000	7.13961   	0.015000	4.10158   	0.015000	1.18063   	
0.020000	7.78541   	0.020000	5.54339   	0.020000	7.85541   	0.020000	7.85541   	0.020000	4.56881   	0.020000	0.974587  	
0.025000	8.73704   	0.025000	5.84991   	0.025000	8.52519   	0.025000	8.52519   	0.025000	5.01427   	0.025000	0.83564   	
0.030000	9.60653   	0.030000	7.02017   	0.030000	9.25404   	0.030000	9.25404   	0.030000	6.29226   	0.030000	0.727912  	
0.035000	10.3709   	0.035000	8.17785   	0.035000	9.99013   	0.035000	9.99013   	0.035000	7.52602   	0.035000	0.651825  	
0.040000	11.0285   	0.040000	9.27877   	0.040000	10.7216   	0.040000	10.7216   	0.040000	8.68728   	0.040000	0.591495  	
0.045000	11.5652   	0.045000	10.3135   	0.045000	11.4457   	0.045000	11.4457   	0.045000	9.77111   	0.045000	0.542354  	
0.050000	11.9305   	0.050000	11.2874   	0.050000	12.1604   	0.050000	12.1604   	0.050000	10.7859   	0.050000	0.501467  	
0.055000	12.5585   	0.055000	12.2108   	0.055000	12.864    	0.055000	12.864    	0.055000	11.744    	0.055000	0.466857  	
0.060000	13.1185   	0.060000	13.0434   	0.060000	13.5549   	0.060000	13.5549   	0.060000	12.6063   	0.060000	0.437139  	
0.070000	14.045    	0.070000	14.5561   	0.070000	14.8938   	0.070000	14.8938   	0.070000	14.1674   	0.070000	0.388641  	
0.080000	15.0389   	0.080000	15.9663   	0.080000	16.1689   	0.080000	16.1689   	0.080000	15.6156   	0.080000	0.350634  	
0.090000	15.8709   	0.090000	17.283    	0.090000	17.3747   	0.090000	17.3747   	0.090000	16.9631   	0.090000	0.319965  	
0.100000	16.5766   	0.100000	18.5082   	0.100000	18.5073   	0.100000	18.5073   	0.100000	18.2135   	0.100000	0.294643  	
0.120000	17.3163   	0.120000	20.6908   	0.120000	20.5481   	0.120000	20.5481   	0.120000	20.4357   	0.120000	0.255161  	
0.140000	17.8673   	0.140000	22.5429   	0.140000	22.2937   	0.140000	22.2937   	0.140000	22.3173   	0.140000	0.225684  	
0.160000	18.3538   	0.160000	24.108    	0.160000	23.763    	0.160000	23.763    	0.160000	23.9053   	0.160000	0.202761  	
0.180000	18.8331   	0.180000	25.4318   	0.180000	24.9836   	0.180000	24.9836   	0.180000	25.2474   	0.180000	0.184377  	
0.200000	19.3272   	0.200000	26.5555   	0.200000	25.9872   	0.200000	25.9872   	0.200000	26.3863   	0.200000	0.169276  	
0.250000	20.2666   	0.250000	28.9438   	0.250000	27.7501   	0.250000	27.7501   	0.250000	28.8027   	0.250000	0.141075  	
0.300000	21.3918   	0.300000	31.233    	0.300000	28.774    	0.300000	28.774    	0.300000	31.1116   	0.300000	0.121413  	
0.350000	22.3298   	0.350000	32.8118   	0.350000	29.3555   	0.350000	29.3555   	0.350000	32.705    	0.350000	0.106858  	
0.400000	23.0995   	0.400000	33.9005   	0.400000	29.6794   	0.400000	29.6794   	0.400000	33.8049   	0.400000	0.0956155 	
0.450000	23.9494   	0.450000	34.9114   	0.450000	30.9161   	0.450000	30.9161   	0.450000	34.8247   	0.450000	0.0866497 	
0.500000	24.6914   	0.500000	35.8201   	0.500000	31.8968   	0.500000	31.8968   	0.500000	35.7408   	0.500000	0.0793196 	
0.600000	24.8949   	0.600000	36.9265   	0.600000	32.756    	0.600000	32.756    	0.600000	36.8585   	0.600000	0.0680246 	
0.700000	24.6287   	0.700000	37.4076   	0.700000	32.7058   	0.700000	32.7058   	0.700000	37.3479   	0.700000	0.0597018 	
0.800000	24.5814   	0.800000	36.8204   	0.800000	32.5286   	0.800000	32.5286   	0.800000	36.7671   	0.800000	0.0532965 	
0.900000	24.4292   	0.900000	36.057    	0.900000	32.2752   	0.900000	32.2752   	0.900000	36.0088   	0.900000	0.0482037 	
1.000000	24.234    	1.000000	35.3181   	1.000000	31.9719   	1.000000	31.9719   	1.000000	35.2741   	1.000000	0.0440507 	
1.250000	23.5598   	1.250000	33.5687   	1.250000	31.0158   	1.250000	31.0158   	1.250000	33.5324   	1.250000	0.0363715 	
1.500000	22.7826   	1.500000	31.9313   	1.500000	29.746    	1.500000	29.746    	1.500000	31.9002   	1.500000	0.0310795 	
1.750000	22.0707   	1.750000	30.557    	1.750000	28.6071   	1.750000	28.6071   	1.750000	30.5298   	1.750000	0.0271976 	
2.000000	21.3658   	2.000000	29.307    	2.000000	27.5632   	2.000000	27.5632   	2.000000	29.2828   	2.000000	0.0242209 	
2.250000	20.6869   	2.250000	28.1202   	2.250000	26.5962   	2.250000	26.5962   	2.250000	28.0983   	2.250000	0.0218613 	
2.500000	22.9346   	2.500000	27.0197   	2.500000	25.6957   	2.500000	25.6957   	2.500000	26.9998   	2.500000	0.0199421 	
3.000000	21.3099   	3.000000	24.999    	3.000000	24.066    	3.000000	24.066    	3.000000	24.982    	3.000000	0.0170034 	
3.500000	19.8785   	3.500000	23.2906   	3.500000	22.6302   	3.500000	22.6302   	3.500000	23.2758   	3.500000	0.0148534 	
4.000000	18.622    	4.000000	21.8515   	4.000000	21.3563   	4.000000	21.3563   	4.000000	21.8383   	4.000000	0.0132082 	
4.500000	17.5162   	4.500000	20.5843   	4.500000	20.2191   	4.500000	20.2191   	4.500000	20.5724   	4.500000	0.0119064 	
5.000000	16.5381   	5.000000	19.4555   	5.000000	19.1978   	5.000000	19.1978   	5.000000	19.4446   	5.000000	0.0108492 	
5.500000	15.6681   	5.500000	18.4442   	5.500000	18.2759   	5.500000	18.2759   	5.500000	18.4342   	5.500000	0.00997273	
6.000000	14.8897   	6.000000	17.5332   	6.000000	17.4394   	6.000000	17.4394   	6.000000	17.5239   	6.000000	0.00923353	
6.500000	14.1895   	6.500000	16.7084   	6.500000	16.6771   	6.500000	16.6771   	6.500000	16.6998   	6.500000	0.00860127	
7.000000	13.5564   	7.000000	15.9582   	7.000000	15.9794   	7.000000	15.9794   	7.000000	15.9501   	7.000000	0.00805396	
7.500000	12.9812   	7.500000	15.2728   	7.500000	15.3385   	7.500000	15.3385   	7.500000	15.2652   	7.500000	0.0075753 	
8.000000	12.4562   	8.000000	14.6442   	8.000000	14.7477   	8.000000	14.7477   	8.000000	14.6371   	8.000000	0.00715295	
8.500000	11.9751   	8.500000	14.0656   	8.500000	14.2011   	8.500000	14.2011   	8.500000	14.0588   	8.500000	0.00677737	
9.000000	11.5327   	9.000000	13.5311   	9.000000	13.6941   	9.000000	13.6941   	9.000000	13.5247   	9.000000	0.00644108	
9.500000	11.1243   	9.500000	13.0359   	9.500000	13.2225   	9.500000	13.2225   	9.500000	13.0298   	9.500000	0.00613813	
10.000000	10.7462   	10.000000	12.0527   	10.000000	12.7825   	10.000000	12.7825   	10.000000	12.0468   	10.000000	0.00586372	
11.000000	10.0679   	11.000000	11.412    	11.000000	11.9469   	11.000000	11.9961   	11.000000	11.4066   	11.000000	0.00538554	
12.000000	9.47681   	12.000000	10.8348   	12.000000	11.2189   	12.000000	11.3047   	12.000000	10.8298   	12.000000	0.00498268	
13.000000	8.95679   	13.000000	10.3131   	13.000000	10.5793   	13.000000	10.6924   	13.000000	10.3085   	13.000000	0.0046384 	
14.000000	8.49559   	14.000000	9.83987   	14.000000	10.0136   	14.000000	10.1469   	14.000000	9.83552   	14.000000	0.00434062	
15.000000	8.08362   	15.000000	9.40897   	15.000000	9.50984   	15.000000	9.65801   	15.000000	9.40489   	15.000000	0.00408038	
16.000000	7.71328   	16.000000	9.01522   	16.000000	9.05866   	16.000000	9.21775   	16.000000	9.01136   	16.000000	0.00385091	
17.000000	7.37846   	17.000000	8.65416   	17.000000	8.6524    	17.000000	8.81946   	17.000000	8.65051   	17.000000	0.00364698	
18.000000	7.0742    	18.000000	8.322     	18.000000	8.2851    	18.000000	8.45768   	18.000000	8.31854   	18.000000	0.00346448	
19.000000	6.79643   	19.000000	8.01548   	19.000000	7.95182   	19.000000	8.12785   	19.000000	8.01218   	19.000000	0.00330017	
20.000000	6.54179   	20.000000	7.7318    	20.000000	7.64842   	20.000000	7.82615   	20.000000	7.72865   	20.000000	0.00315141	
21.000000	6.30745   	21.000000	7.46853   	21.000000	7.37115   	21.000000	7.54933   	21.000000	7.46551   	21.000000	0.00301606	
22.000000	6.09103   	22.000000	7.22357   	22.000000	7.11672   	22.000000	7.29465   	22.000000	7.22068   	22.000000	0.00289236	
23.000000	5.89053   	23.000000	6.99511   	23.000000	6.8826    	23.000000	7.05974   	23.000000	6.99233   	23.000000	0.00277885	
24.000000	5.70421   	24.000000	6.78155   	24.000000	6.66681   	24.000000	6.84255   	24.000000	6.77887   	24.000000	0.0026743 	
25.000000	5.53061   	25.000000	6.58148   	25.000000	6.4676    	25.000000	6.64133   	25.000000	6.57891   	25.000000	0.00257767	
27.000000	5.21657   	27.000000	6.21708   	27.000000	6.11275   	27.000000	6.2808    	27.000000	6.21467   	27.000000	0.00240479	
29.000000	4.94003   	29.000000	5.89365   	29.000000	5.80646   	29.000000	5.96796   	29.000000	5.89139   	29.000000	0.00225455	
31.000000	4.69456   	31.000000	5.60469   	31.000000	5.53117   	31.000000	5.67891   	31.000000	5.60257   	31.000000	0.00212272	
33.000000	4.4751    	33.000000	5.34499   	33.000000	5.27731   	33.000000	5.40639   	33.000000	5.34298   	33.000000	0.00200607	
35.000000	4.27768   	35.000000	5.11033   	35.000000	5.04866   	35.000000	5.16118   	35.000000	5.10843   	35.000000	0.00190209	
38.000000	4.01597   	38.000000	4.79793   	38.000000	4.74318   	38.000000	4.8362    	38.000000	4.79616   	38.000000	0.00176564	
41.000000	3.78829   	41.000000	4.52503   	41.000000	4.4765    	41.000000	4.55363   	41.000000	4.52339   	41.000000	0.00164818	
44.000000	3.5883    	44.000000	4.28461   	44.000000	4.24121   	44.000000	4.30567   	44.000000	4.28306   	44.000000	0.00154597	
47.000000	3.41115   	47.000000	4.07118   	47.000000	4.03238   	47.000000	4.0863    	47.000000	4.06972   	47.000000	0.00145619	
50.000000	3.25309   	50.000000	3.88045   	50.000000	3.84596   	50.000000	3.89083   	50.000000	3.87907   	50.000000	0.00137665	
55.000000	3.02422   	55.000000	3.60395   	55.000000	3.57466   	55.000000	3.6084    	55.000000	3.60269   	55.000000	0.00126248	
60.000000	2.82992   	60.000000	3.36907   	60.000000	3.3447    	60.000000	3.36929   	60.000000	3.3679    	60.000000	0.00116646	
65.000000	2.66277   	65.000000	3.16704   	65.000000	3.14624   	65.000000	3.1642    	65.000000	3.16596   	65.000000	0.00108453	
70.000000	2.51736   	70.000000	2.99142   	70.000000	2.97368   	70.000000	2.98632   	70.000000	2.9904    	70.000000	0.00101377	
75.000000	2.38964   	75.000000	2.83732   	75.000000	2.82221   	75.000000	2.83055   	75.000000	2.83637   	75.000000	0.000952016	
80.000000	2.27649   	80.000000	2.70101   	80.000000	2.68835   	80.000000	2.69298   	80.000000	2.70011   	80.000000	0.000897626	
85.000000	2.17553   	85.000000	2.57957   	85.000000	2.5688    	85.000000	2.57059   	85.000000	2.57872   	85.000000	0.000849342	
90.000000	2.08483   	90.000000	2.47068   	90.000000	2.46135   	90.000000	2.46097   	90.000000	2.46987   	90.000000	0.00080618	
95.000000	2.00288   	95.000000	2.37248   	95.000000	2.36451   	95.000000	2.36222   	95.000000	2.37172   	95.000000	0.000767355	
100.000000	1.92845   	100.000000	2.28347   	100.000000	2.27675   	100.000000	2.2728    	100.000000	2.28274   	100.000000	0.000732236	
105.000000	1.86052   	105.000000	2.20241   	105.000000	2.19686   	105.000000	2.19142   	105.000000	2.20171   	105.000000	0.000700311	
110.000000	1.79827   	110.000000	2.12828   	110.000000	2.12362   	110.000000	2.11706   	110.000000	2.12761   	110.000000	0.000671158	
115.000000	1.74098   	115.000000	2.06021   	115.000000	2.05635   	115.000000	2.04883   	115.000000	2.05957   	115.000000	0.000644426	
120.000000	1.68808   	120.000000	1.9975    	120.000000	1.99439   	120.000000	1.986     	120.000000	1.99688   	120.000000	0.000619822	
125.000000	1.63907   	125.000000	1.93953   	125.000000	1.93714   	125.000000	1.92796   	125.000000	1.93893   	125.000000	0.000597098	
130.000000	1.59353   	130.000000	1.88578   	130.000000	1.88406   	130.000000	1.87417   	130.000000	1.8852    	130.000000	0.000576043	
135.000000	1.55109   	135.000000	1.8358    	135.000000	1.83455   	135.000000	1.82419   	135.000000	1.83524   	135.000000	0.000556479	
140.000000	1.51144   	140.000000	1.78921   	140.000000	1.78851   	140.000000	1.77762   	140.000000	1.78868   	140.000000	0.000538251	
145.000000	1.4743    	145.000000	1.74568   	145.000000	1.74554   	145.000000	1.73413   	145.000000	1.74516   	145.000000	0.000521223	
150.000000	1.43944   	150.000000	1.70491   	150.000000	1.70518   	150.000000	1.69341   	150.000000	1.70441   	150.000000	0.000505281	
