Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	14.3487   	4.500000	18.0172   	4.500000	18.6572   	4.500000	18.6572   	4.500000	18.0035   	4.500000	0.0137308 	
5.000000	13.5151   	5.000000	17.0645   	5.000000	17.7029   	5.000000	17.7029   	5.000000	17.052    	5.000000	0.0125169 	
5.500000	12.7776   	5.500000	16.2281   	5.500000	16.8437   	5.500000	16.8437   	5.500000	16.2166   	5.500000	0.01151   	
6.000000	12.1206   	6.000000	15.4732   	6.000000	16.0662   	6.000000	16.0662   	6.000000	15.4625   	6.000000	0.0106605 	
6.500000	11.5319   	6.500000	14.7876   	6.500000	15.359    	6.500000	15.359    	6.500000	14.7777   	6.500000	0.0099335 	
7.000000	11.0014   	7.000000	14.1618   	7.000000	14.7131   	7.000000	14.7131   	7.000000	14.1525   	7.000000	0.00930398	
7.500000	10.5208   	7.500000	13.5875   	7.500000	14.1208   	7.500000	14.1208   	7.500000	13.5787   	7.500000	0.00875324	
8.000000	10.0833   	8.000000	13.0586   	8.000000	13.5755   	8.000000	13.5755   	8.000000	13.0504   	8.000000	0.00826714	
8.500000	9.6834    	8.500000	12.5701   	8.500000	13.0718   	8.500000	13.0718   	8.500000	12.5623   	8.500000	0.00783475	
9.000000	9.31635   	9.000000	12.1174   	9.000000	12.6051   	9.000000	12.6051   	9.000000	12.11     	9.000000	0.00744748	
9.500000	8.97823   	9.500000	11.6968   	9.500000	12.1715   	9.500000	12.1715   	9.500000	11.6897   	9.500000	0.00709853	
10.000000	8.6657    	10.000000	11.4629   	10.000000	11.7674   	10.000000	11.7674   	10.000000	11.4561   	10.000000	0.00678237	
11.000000	8.10649   	11.000000	10.7941   	11.000000	11.0076   	11.000000	11.0472   	11.000000	10.7879   	11.000000	0.00623128	
12.000000	7.62046   	12.000000	10.2005   	12.000000	10.3434   	12.000000	10.4121   	12.000000	10.1947   	12.000000	0.00576681	
13.000000	7.19396   	13.000000	9.67048   	13.000000	9.75807   	13.000000	9.84804   	13.000000	9.66511   	13.000000	0.00536975	
14.000000	6.81652   	14.000000	9.19457   	14.000000	9.23838   	14.000000	9.34396   	14.000000	9.18955   	14.000000	0.0050262 	
15.000000	6.48002   	15.000000	8.76504   	15.000000	8.77409   	15.000000	8.89096   	15.000000	8.76031   	15.000000	0.00472589	
16.000000	6.17804   	16.000000	8.3755    	16.000000	8.35705   	16.000000	8.48184   	16.000000	8.37104   	16.000000	0.00446101	
