Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	19.1785   	4.500000	19.485    	4.500000	20.0425   	4.500000	20.0425   	4.500000	19.4708   	4.500000	0.0141779 	
5.000000	18.1278   	5.000000	18.5833   	5.000000	19.1385   	5.000000	19.1385   	5.000000	18.5704   	5.000000	0.0129272 	
5.500000	17.1907   	5.500000	17.7779   	5.500000	18.3129   	5.500000	18.3129   	5.500000	17.766    	5.500000	0.0118895 	
6.000000	16.3506   	6.000000	17.0397   	6.000000	17.5563   	6.000000	17.5563   	6.000000	17.0287   	6.000000	0.0110137 	
6.500000	15.5936   	6.500000	16.3604   	6.500000	16.8608   	6.500000	16.8608   	6.500000	16.3502   	6.500000	0.0102642 	
7.000000	14.9079   	7.000000	15.7337   	7.000000	16.2192   	7.000000	16.2192   	7.000000	15.7241   	7.000000	0.00961501	
7.500000	14.2841   	7.500000	15.1538   	7.500000	15.6256   	7.500000	15.6256   	7.500000	15.1448   	7.500000	0.00904698	
8.000000	13.7141   	8.000000	14.6159   	8.000000	15.0749   	8.000000	15.0749   	8.000000	14.6074   	8.000000	0.00854553	
8.500000	13.1913   	8.500000	14.1157   	8.500000	14.5625   	8.500000	14.5625   	8.500000	14.1076   	8.500000	0.00809943	
9.000000	12.7098   	9.000000	13.6494   	9.000000	14.0846   	9.000000	14.0846   	9.000000	13.6417   	9.000000	0.00769984	
9.500000	12.2651   	9.500000	13.2136   	9.500000	13.6378   	9.500000	13.6378   	9.500000	13.2063   	9.500000	0.00733973	
10.000000	11.8529   	10.000000	13.1973   	10.000000	13.2192   	10.000000	13.2192   	10.000000	13.1903   	10.000000	0.00701343	
11.000000	11.1128   	11.000000	12.4593   	11.000000	12.418    	11.000000	12.4785   	11.000000	12.4528   	11.000000	0.00644457	
12.000000	10.4669   	12.000000	11.8015   	12.000000	11.7125   	12.000000	11.8183   	12.000000	11.7955   	12.000000	0.00596504	
13.000000	9.89808   	13.000000	11.2119   	13.000000	11.0867   	13.000000	11.2265   	13.000000	11.2063   	13.000000	0.00555503	
14.000000	9.39304   	14.000000	10.6806   	14.000000	10.5279   	14.000000	10.6933   	14.000000	10.6754   	14.000000	0.00520023	
15.000000	8.9415    	15.000000	10.1995   	15.000000	10.0261   	15.000000	10.2106   	15.000000	10.1946   	15.000000	0.00489003	
16.000000	8.53525   	16.000000	9.76184   	16.000000	9.57332   	16.000000	9.7719    	16.000000	9.75723   	16.000000	0.0046164 	
17.000000	8.16769   	17.000000	9.36204   	17.000000	9.16299   	17.000000	9.37156   	17.000000	9.35767   	17.000000	0.00437313	
18.000000	7.83346   	18.000000	8.99542   	18.000000	8.78934   	18.000000	9.00497   	18.000000	8.99126   	18.000000	0.00415537	
19.000000	7.52814   	19.000000	8.65802   	19.000000	8.44781   	19.000000	8.66819   	19.000000	8.65406   	19.000000	0.00395924	
20.000000	7.24808   	20.000000	8.34651   	20.000000	8.1347    	20.000000	8.35788   	20.000000	8.34273   	20.000000	0.00378162	
21.000000	6.99022   	21.000000	8.05801   	21.000000	7.84675   	21.000000	8.07119   	21.000000	8.05439   	21.000000	0.00361997	
22.000000	6.75196   	22.000000	7.79008   	22.000000	7.58109   	22.000000	7.80567   	22.000000	7.78661   	22.000000	0.0034722 	
23.000000	6.53113   	23.000000	7.54059   	23.000000	7.33541   	23.000000	7.55918   	23.000000	7.53725   	23.000000	0.00333657	
24.000000	6.32583   	24.000000	7.3077    	24.000000	7.10776   	24.000000	7.32989   	24.000000	7.30449   	24.000000	0.00321161	
25.000000	6.13447   	25.000000	7.08982   	25.000000	6.8964    	25.000000	7.11616   	25.000000	7.08672   	25.000000	0.0030961 	
27.000000	5.78812   	27.000000	6.69361   	27.000000	6.51639   	27.000000	6.7299    	27.000000	6.69072   	27.000000	0.00288937	
29.000000	5.48294   	29.000000	6.34263   	29.000000	6.18495   	29.000000	6.39094   	29.000000	6.33992   	29.000000	0.00270964	
31.000000	5.21187   	31.000000	6.02955   	31.000000	5.89222   	31.000000	6.08056   	31.000000	6.027     	31.000000	0.00255189	
33.000000	4.96942   	33.000000	5.74855   	33.000000	5.62801   	33.000000	5.79259   	33.000000	5.74614   	33.000000	0.00241226	
35.000000	4.75119   	35.000000	5.49494   	35.000000	5.38851   	35.000000	5.53322   	35.000000	5.49265   	35.000000	0.00228775	
38.000000	4.46178   	38.000000	5.1577    	38.000000	5.06909   	38.000000	5.18907   	38.000000	5.15558   	38.000000	0.00212431	
41.000000	4.20985   	41.000000	4.86347   	41.000000	4.78953   	41.000000	4.88946   	41.000000	4.86149   	41.000000	0.00198357	
44.000000	3.98845   	44.000000	4.60451   	44.000000	4.54281   	44.000000	4.62625   	44.000000	4.60265   	44.000000	0.00186106	
47.000000	3.79226   	47.000000	4.37483   	47.000000	4.32279   	47.000000	4.39316   	47.000000	4.37308   	47.000000	0.0017534 	
50.000000	3.61713   	50.000000	4.16973   	50.000000	4.12591   	50.000000	4.18527   	50.000000	4.16807   	50.000000	0.00165801	
55.000000	3.36345   	55.000000	3.87265   	55.000000	3.8401    	55.000000	3.88456   	55.000000	3.87113   	55.000000	0.00152103	
60.000000	3.14797   	60.000000	3.6205    	60.000000	3.59633   	60.000000	3.62967   	60.000000	3.6191    	60.000000	0.00140578	
65.000000	2.96253   	65.000000	3.40379   	65.000000	3.38614   	65.000000	3.41082   	65.000000	3.40248   	65.000000	0.00130741	
70.000000	2.80115   	70.000000	3.21552   	70.000000	3.20305   	70.000000	3.22083   	70.000000	3.21429   	70.000000	0.00122242	
75.000000	2.65935   	75.000000	3.05042   	75.000000	3.04221   	75.000000	3.05432   	75.000000	3.04927   	75.000000	0.00114822	
80.000000	2.53371   	80.000000	2.90445   	80.000000	2.8995    	80.000000	2.90715   	80.000000	2.90337   	80.000000	0.00108286	
85.000000	2.42156   	85.000000	2.77446   	85.000000	2.77227   	85.000000	2.77613   	85.000000	2.77344   	85.000000	0.00102482	
90.000000	2.3208    	90.000000	2.65795   	90.000000	2.65782   	90.000000	2.65873   	90.000000	2.65698   	90.000000	0.000972922	
95.000000	2.22973   	95.000000	2.55292   	95.000000	2.55457   	95.000000	2.5529    	95.000000	2.552     	95.000000	0.00092623	
100.000000	2.14701   	100.000000	2.45775   	100.000000	2.46065   	100.000000	2.45702   	100.000000	2.45687   	100.000000	0.000883987	
105.000000	2.0715    	105.000000	2.37111   	105.000000	2.37541   	105.000000	2.36973   	105.000000	2.37026   	105.000000	0.000845578	
110.000000	2.00229   	110.000000	2.29189   	110.000000	2.29695   	110.000000	2.28992   	110.000000	2.29108   	110.000000	0.000810497	
115.000000	1.93859   	115.000000	2.21918   	115.000000	2.225     	115.000000	2.21667   	115.000000	2.2184    	115.000000	0.000778325	
120.000000	1.87977   	120.000000	2.1522    	120.000000	2.15868   	120.000000	2.1492    	120.000000	2.15145   	120.000000	0.000748708	
125.000000	1.82527   	125.000000	2.0903    	125.000000	2.09725   	125.000000	2.08684   	125.000000	2.08958   	125.000000	0.00072135	
130.000000	1.77461   	130.000000	2.03292   	130.000000	2.04049   	130.000000	2.02903   	130.000000	2.03222   	130.000000	0.000695999	
135.000000	1.7274    	135.000000	1.97958   	135.000000	1.98755   	135.000000	1.9753    	135.000000	1.9789    	135.000000	0.000672438	
140.000000	1.68329   	140.000000	1.92986   	140.000000	1.93799   	140.000000	1.92522   	140.000000	1.92921   	140.000000	0.000650483	
145.000000	1.64198   	145.000000	1.88342   	145.000000	1.89168   	145.000000	1.87844   	145.000000	1.88279   	145.000000	0.000629972	
150.000000	1.60319   	150.000000	1.83992   	150.000000	1.84846   	150.000000	1.83463   	150.000000	1.83931   	150.000000	0.000610766	
155.000000	1.54842   	155.000000	1.79911   	155.000000	1.80778   	155.000000	1.79353   	155.000000	1.79852   	155.000000	0.000592742	
160.000000	1.51639   	160.000000	1.76074   	160.000000	1.76944   	160.000000	1.75488   	160.000000	1.76017   	160.000000	0.000575793	
165.000000	1.48617   	165.000000	1.7246    	165.000000	1.73335   	165.000000	1.71848   	165.000000	1.72404   	165.000000	0.000559824	
170.000000	1.4576    	170.000000	1.69049   	170.000000	1.6993    	170.000000	1.68414   	170.000000	1.68995   	170.000000	0.000544751	
175.000000	1.43057   	175.000000	1.65826   	175.000000	1.6671    	175.000000	1.65168   	175.000000	1.65773   	175.000000	0.000530501	
180.000000	1.40493   	180.000000	1.62774   	180.000000	1.63662   	180.000000	1.62096   	180.000000	1.62722   	180.000000	0.000517006	
185.000000	1.3806    	185.000000	1.59881   	185.000000	1.60772   	185.000000	1.59184   	185.000000	1.59831   	185.000000	0.000504208	
190.000000	1.35746   	190.000000	1.57135   	190.000000	1.58027   	190.000000	1.5642    	190.000000	1.57086   	190.000000	0.000492053	
195.000000	1.33543   	195.000000	1.54524   	195.000000	1.55421   	195.000000	1.53793   	195.000000	1.54476   	195.000000	0.000480492	
200.000000	1.31444   	200.000000	1.52039   	200.000000	1.52939   	200.000000	1.51293   	200.000000	1.51992   	200.000000	0.000469484	
210.000000	1.27527   	210.000000	1.47413   	210.000000	1.48299   	210.000000	1.46639   	210.000000	1.47368   	210.000000	0.000448971	
220.000000	1.23946   	220.000000	1.43193   	220.000000	1.44082   	220.000000	1.42397   	220.000000	1.4315    	220.000000	0.00043024	
230.000000	1.20658   	230.000000	1.3933    	230.000000	1.40212   	230.000000	1.38514   	230.000000	1.39289   	230.000000	0.000413067	
240.000000	1.17628   	240.000000	1.35779   	240.000000	1.3665    	240.000000	1.34947   	240.000000	1.3574    	240.000000	0.000397263	
250.000000	1.14828   	250.000000	1.32505   	250.000000	1.33369   	250.000000	1.3166    	250.000000	1.32467   	250.000000	0.000382667	
260.000000	1.12233   	260.000000	1.29477   	260.000000	1.30334   	260.000000	1.28621   	260.000000	1.2944    	260.000000	0.000369146	
270.000000	1.09819   	270.000000	1.26668   	270.000000	1.2752    	270.000000	1.25804   	270.000000	1.26632   	270.000000	0.000356583	
280.000000	1.0757    	280.000000	1.24055   	280.000000	1.24903   	280.000000	1.23185   	280.000000	1.24021   	280.000000	0.000344878	
290.000000	1.05468   	290.000000	1.21619   	290.000000	1.22465   	290.000000	1.20746   	290.000000	1.21586   	290.000000	0.000333945	
