Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	5.14961   	0.001000	6.63497   	0.001000	6.88659   	0.001000	6.88659   	0.001000	2.19186   	0.001000	4.44311   	
0.002000	5.23849   	0.002000	6.68966   	0.002000	7.06981   	0.002000	7.06981   	0.002000	2.84249   	0.002000	3.84717   	
0.005000	5.52546   	0.005000	6.7586    	0.005000	7.41437   	0.005000	7.41437   	0.005000	4.00799   	0.005000	2.75061   	
0.008000	5.87576   	0.008000	6.96653   	0.008000	7.83302   	0.008000	7.83302   	0.008000	4.78048   	0.008000	2.18605   	
0.010000	6.10919   	0.010000	7.13497   	0.010000	8.12366   	0.010000	8.12366   	0.010000	5.19772   	0.010000	1.93725   	
0.015000	6.96986   	0.015000	7.73278   	0.015000	8.84291   	0.015000	8.84291   	0.015000	6.20364   	0.015000	1.52914   	
0.020000	7.78122   	0.020000	8.48465   	0.020000	9.69818   	0.020000	9.69818   	0.020000	7.20699   	0.020000	1.27765   	
0.025000	8.73365   	0.025000	9.42469   	0.025000	10.6039   	0.025000	10.6039   	0.025000	8.31988   	0.025000	1.10481   	
0.030000	9.60369   	0.030000	10.3775   	0.030000	11.6133   	0.030000	11.6133   	0.030000	9.39982   	0.030000	0.977633  	
0.035000	10.3685   	0.035000	11.3256   	0.035000	12.6157   	0.035000	12.6157   	0.035000	10.446    	0.035000	0.879582  	
0.040000	11.0263   	0.040000	12.2538   	0.040000	13.5972   	0.040000	13.5972   	0.040000	11.4567   	0.040000	0.797111  	
0.045000	11.5633   	0.045000	13.1634   	0.045000	14.5605   	0.045000	14.5605   	0.045000	12.4299   	0.045000	0.733505  	
0.050000	11.9288   	0.050000	13.9901   	0.050000	15.4936   	0.050000	15.4936   	0.050000	13.3126   	0.050000	0.677474  	
