Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	4.83717   	0.001000	6.24718   	0.001000	6.43797   	0.001000	6.43797   	0.001000	2.05744   	0.001000	4.18973   	
0.002000	4.90007   	0.002000	6.26339   	0.002000	6.5604    	0.002000	6.5604    	0.002000	2.66817   	0.002000	3.59521   	
0.005000	5.16127   	0.005000	6.3041    	0.005000	6.8332    	0.005000	6.8332    	0.005000	3.76219   	0.005000	2.54191   	
0.008000	5.49274   	0.008000	6.49775   	0.008000	7.2065    	0.008000	7.2065    	0.008000	4.48731   	0.008000	2.01044   	
0.010000	5.71406   	0.010000	6.65696   	0.010000	7.47046   	0.010000	7.47046   	0.010000	4.87896   	0.010000	1.778     	
0.015000	6.52644   	0.015000	7.22171   	0.015000	8.14106   	0.015000	8.14106   	0.015000	5.82288   	0.015000	1.39882   	
0.020000	7.2914    	0.020000	7.9305    	0.020000	8.95847   	0.020000	8.95847   	0.020000	6.76411   	0.020000	1.16639   	
0.025000	8.18837   	0.025000	8.81555   	0.025000	9.82619   	0.025000	9.82619   	0.025000	7.80839   	0.025000	1.00716   	
0.030000	9.00278   	0.030000	9.71235   	0.030000	10.7926   	0.030000	10.7926   	0.030000	8.82207   	0.030000	0.890272  	
0.035000	9.72794   	0.035000	10.6047   	0.035000	11.754    	0.035000	11.754    	0.035000	9.80442   	0.035000	0.800307  	
0.040000	10.3475   	0.040000	11.4786   	0.040000	12.6971   	0.040000	12.6971   	0.040000	10.7537   	0.040000	0.724839  	
0.045000	10.8054   	0.045000	12.2955   	0.045000	13.6235   	0.045000	13.6235   	0.045000	11.6289   	0.045000	0.66659   	
0.050000	11.1505   	0.050000	13.0562   	0.050000	14.5219   	0.050000	14.5219   	0.050000	12.4408   	0.050000	0.615397  	
0.055000	11.7415   	0.055000	13.8973   	0.055000	15.3944   	0.055000	15.3944   	0.055000	13.3231   	0.055000	0.574238  	
0.060000	12.2691   	0.060000	14.7178   	0.060000	16.2361   	0.060000	16.2361   	0.060000	14.179    	0.060000	0.538759  	
0.070000	13.1434   	0.070000	16.2878   	0.070000	17.8211   	0.070000	17.8211   	0.070000	15.8073   	0.070000	0.480583  	
0.080000	14.0814   	0.080000	17.735    	0.080000	19.2708   	0.080000	19.2708   	0.080000	17.3002   	0.080000	0.434752  	
0.090000	14.8679   	0.090000	19.0674   	0.090000	20.5849   	0.090000	20.5849   	0.090000	18.6698   	0.090000	0.397613  	
0.100000	15.5362   	0.100000	20.283    	0.100000	21.7675   	0.100000	21.7675   	0.100000	19.9161   	0.100000	0.366842  	
