Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	14.3487   	4.500000	17.1717   	4.500000	16.818    	4.500000	16.818    	4.500000	17.1621   	4.500000	0.00954768	
5.000000	13.5151   	5.000000	16.1615   	5.000000	15.92     	5.000000	15.92     	5.000000	16.1528   	5.000000	0.00869838	
5.500000	12.7776   	5.500000	15.2691   	5.500000	15.1138   	5.500000	15.1138   	5.500000	15.2611   	5.500000	0.00799435	
6.000000	12.1206   	6.000000	14.4733   	6.000000	14.386    	6.000000	14.386    	6.000000	14.4659   	6.000000	0.00740074	
6.500000	11.5319   	6.500000	13.7584   	6.500000	13.7258   	6.500000	13.7258   	6.500000	13.7515   	6.500000	0.00689309	
7.000000	11.0014   	7.000000	13.1118   	7.000000	13.1241   	7.000000	13.1241   	7.000000	13.1054   	7.000000	0.00645372	
7.500000	10.5208   	7.500000	12.5237   	7.500000	12.5735   	7.500000	12.5735   	7.500000	12.5176   	7.500000	0.00606952	
8.000000	10.0833   	8.000000	11.9862   	8.000000	12.0677   	8.000000	12.0677   	8.000000	11.9805   	8.000000	0.00573055	
8.500000	9.6834    	8.500000	11.4931   	8.500000	11.6014   	8.500000	11.6014   	8.500000	11.4877   	8.500000	0.00542916	
9.000000	9.31635   	9.000000	11.0391   	9.000000	11.1701   	9.000000	11.1701   	9.000000	11.034    	9.000000	0.00515933	
9.500000	8.97823   	9.500000	10.6197   	9.500000	10.77     	9.500000	10.77     	9.500000	10.6148   	9.500000	0.00491627	
10.000000	8.6657    	10.000000	9.80538   	10.000000	10.3978   	10.000000	10.3978   	10.000000	9.80068   	10.000000	0.00469613	
11.000000	8.10649   	11.000000	9.26142   	11.000000	9.69915   	11.000000	9.73301   	11.000000	9.25711   	11.000000	0.00431258	
12.000000	7.62046   	12.000000	8.7741    	12.000000	9.09239   	12.000000	9.15104   	12.000000	8.77011   	12.000000	0.00398949	
13.000000	7.19396   	13.000000	8.33573   	13.000000	8.56087   	13.000000	8.63772   	13.000000	8.33202   	13.000000	0.00371342	
