Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	4.87595   	0.001000	5.25169   	0.001000	5.26739   	0.001000	5.26739   	0.001000	1.37832   	0.001000	3.87336   	
0.002000	4.92619   	0.002000	4.92901   	0.002000	5.11295   	0.002000	5.11295   	0.002000	1.78746   	0.002000	3.14155   	
0.005000	5.17441   	0.005000	4.5972    	0.005000	5.19383   	0.005000	5.19383   	0.005000	2.52037   	0.005000	2.07683   	
0.008000	5.50151   	0.008000	4.60283   	0.008000	5.53939   	0.008000	5.53939   	0.008000	3.00614   	0.008000	1.59669   	
0.010000	5.72124   	0.010000	4.66392   	0.010000	5.80347   	0.010000	5.80347   	0.010000	3.26852   	0.010000	1.3954    	
0.015000	6.53138   	0.015000	4.88229   	0.015000	6.47576   	0.015000	6.47576   	0.015000	3.80527   	0.015000	1.07702   	
0.020000	7.29516   	0.020000	5.12626   	0.020000	7.12144   	0.020000	7.12144   	0.020000	4.23874   	0.020000	0.88752   	
0.025000	8.19141   	0.025000	5.41209   	0.025000	7.72876   	0.025000	7.72876   	0.025000	4.65202   	0.025000	0.760069  	
0.030000	9.00532   	0.030000	6.49965   	0.030000	8.42975   	0.030000	8.42975   	0.030000	5.83806   	0.030000	0.661586  	
0.035000	9.73012   	0.035000	7.57633   	0.035000	9.13898   	0.035000	9.13898   	0.035000	6.98437   	0.035000	0.59196   	
0.040000	10.3494   	0.040000	8.60152   	0.040000	9.84513   	0.040000	9.84513   	0.040000	8.0647    	0.040000	0.536828  	
0.045000	10.8071   	0.045000	9.56635   	0.045000	10.5453   	0.045000	10.5453   	0.045000	9.07437   	0.045000	0.49197   	
0.050000	11.152    	0.050000	10.4757   	0.050000	11.2372   	0.050000	11.2372   	0.050000	10.021    	0.050000	0.45468   	
0.055000	11.7429   	0.055000	11.3035   	0.055000	11.919    	0.055000	11.919    	0.055000	10.8804   	0.055000	0.423137  	
0.060000	12.2703   	0.060000	12.0544   	0.060000	12.589    	0.060000	12.589    	0.060000	11.6583   	0.060000	0.39607   	
