Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	15.9055   	4.500000	18.8545   	4.500000	18.5009   	4.500000	18.5009   	4.500000	18.8438   	4.500000	0.0106915 	
5.000000	14.9999   	5.000000	17.7857   	5.000000	17.5405   	5.000000	17.5405   	5.000000	17.7759   	5.000000	0.00974141	
5.500000	14.1964   	5.500000	16.8364   	5.500000	16.6757   	5.500000	16.6757   	5.500000	16.8275   	5.500000	0.00895374	
6.000000	13.4791   	6.000000	15.9839   	6.000000	15.8932   	6.000000	15.8932   	6.000000	15.9756   	6.000000	0.00828954	
6.500000	12.8351   	6.500000	15.214    	6.500000	15.1815   	6.500000	15.1815   	6.500000	15.2063   	6.500000	0.00772147	
7.000000	12.2537   	7.000000	14.5153   	7.000000	14.5316   	7.000000	14.5316   	7.000000	14.5081   	7.000000	0.00722975	
7.500000	11.7262   	7.500000	13.8783   	7.500000	13.9356   	7.500000	13.9356   	7.500000	13.8715   	7.500000	0.00679975	
8.000000	11.2454   	8.000000	13.2952   	8.000000	13.3871   	8.000000	13.3871   	8.000000	13.2887   	8.000000	0.00642035	
8.500000	10.8054   	8.500000	12.7592   	8.500000	12.8806   	8.500000	12.8806   	8.500000	12.7531   	8.500000	0.00608298	
9.000000	10.4011   	9.000000	12.2649   	9.000000	12.4115   	9.000000	12.4115   	9.000000	12.2592   	9.000000	0.00578092	
9.500000	10.0282   	9.500000	11.8076   	9.500000	11.9756   	9.500000	11.9756   	9.500000	11.8021   	9.500000	0.00550882	
10.000000	9.68333   	10.000000	10.9098   	10.000000	11.5696   	10.000000	11.5696   	10.000000	10.9045   	10.000000	0.00526237	
11.000000	9.06542   	11.000000	10.3173   	11.000000	10.803    	11.000000	10.8441   	11.000000	10.3125   	11.000000	0.00483293	
12.000000	8.52762   	12.000000	9.78512   	12.000000	10.1361   	12.000000	10.2075   	12.000000	9.78065   	12.000000	0.00447116	
13.000000	8.05508   	13.000000	9.30521   	13.000000	9.55109   	13.000000	9.64494   	13.000000	9.30104   	13.000000	0.00416201	
14.000000	7.63644   	14.000000	8.87074   	14.000000	9.03417   	14.000000	9.1445    	14.000000	8.86684   	14.000000	0.00389464	
15.000000	7.26284   	15.000000	8.47587   	15.000000	8.57426   	15.000000	8.69677   	15.000000	8.47221   	15.000000	0.00366098	
16.000000	6.92727   	16.000000	8.11562   	16.000000	8.1629    	16.000000	8.29411   	16.000000	8.11217   	16.000000	0.00345496	
