Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	14.3487   	4.500000	14.9636   	4.500000	15.3423   	4.500000	15.3423   	4.500000	14.9533   	4.500000	0.010272  	
5.000000	13.5151   	5.000000	14.193    	5.000000	14.5853   	5.000000	14.5853   	5.000000	14.1836   	5.000000	0.00936331	
5.500000	12.7776   	5.500000	13.5139   	5.500000	13.9001   	5.500000	13.9001   	5.500000	13.5053   	5.500000	0.00860958	
6.000000	12.1206   	6.000000	12.8998   	6.000000	13.2772   	6.000000	13.2772   	6.000000	12.8918   	6.000000	0.00797369	
6.500000	11.5319   	6.500000	12.3411   	6.500000	12.7086   	6.500000	12.7086   	6.500000	12.3336   	6.500000	0.00742959	
7.000000	11.0014   	7.000000	11.8302   	7.000000	12.1876   	7.000000	12.1876   	7.000000	11.8233   	7.000000	0.00695846	
7.500000	10.5208   	7.500000	11.3608   	7.500000	11.7085   	7.500000	11.7085   	7.500000	11.3543   	7.500000	0.00654631	
8.000000	10.0833   	8.000000	10.928    	8.000000	11.2664   	8.000000	11.2664   	8.000000	10.9219   	8.000000	0.00618254	
8.500000	9.6834    	8.500000	10.5278   	8.500000	10.8572   	8.500000	10.8572   	8.500000	10.5219   	8.500000	0.00585898	
9.000000	9.31635   	9.000000	10.1565   	9.000000	10.4773   	9.000000	10.4773   	9.000000	10.1509   	9.000000	0.00556921	
9.500000	8.97823   	9.500000	9.81119   	9.500000	10.1237   	9.500000	10.1237   	9.500000	9.80588   	9.500000	0.0053081 	
10.000000	8.6657    	10.000000	9.77954   	10.000000	9.79368   	10.000000	9.79368   	10.000000	9.77447   	10.000000	0.00507155	
11.000000	8.10649   	11.000000	9.1993    	11.000000	9.1736    	11.000000	9.20887   	11.000000	9.19464   	11.000000	0.00465924	
12.000000	7.62046   	12.000000	8.68593   	12.000000	8.63028   	12.000000	8.69136   	12.000000	8.68162   	12.000000	0.00431176	
13.000000	7.19396   	13.000000	8.22872   	13.000000	8.15047   	13.000000	8.2305    	13.000000	8.2247    	13.000000	0.00401472	
14.000000	6.81652   	14.000000	7.81904   	14.000000	7.72378   	14.000000	7.81771   	14.000000	7.81529   	14.000000	0.00375773	
15.000000	6.48002   	15.000000	7.44994   	15.000000	7.34206   	15.000000	7.44603   	15.000000	7.4464    	15.000000	0.00353308	
16.000000	6.17804   	16.000000	7.1157    	16.000000	6.99879   	16.000000	7.1098    	16.000000	7.11237   	16.000000	0.00333496	
17.000000	5.90545   	17.000000	6.81166   	17.000000	6.68857   	17.000000	6.80434   	17.000000	6.8085    	17.000000	0.00315884	
18.000000	5.65809   	18.000000	6.5339    	18.000000	6.40684   	18.000000	6.52575   	18.000000	6.5309    	18.000000	0.00300121	
19.000000	5.43257   	19.000000	6.27918   	19.000000	6.14994   	19.000000	6.27078   	19.000000	6.27632   	19.000000	0.00285926	
20.000000	5.22606   	20.000000	6.04475   	20.000000	5.91489   	20.000000	6.03666   	20.000000	6.04202   	20.000000	0.00273072	
21.000000	5.03623   	21.000000	5.82829   	21.000000	5.69919   	21.000000	5.82107   	21.000000	5.82568   	21.000000	0.00261376	
22.000000	4.86109   	22.000000	5.62782   	22.000000	5.5007    	22.000000	5.62199   	22.000000	5.62531   	22.000000	0.00250685	
23.000000	4.69898   	23.000000	5.44162   	23.000000	5.31755   	23.000000	5.4377    	23.000000	5.43921   	23.000000	0.00240872	
24.000000	4.54847   	24.000000	5.26823   	24.000000	5.14813   	24.000000	5.26672   	24.000000	5.26591   	24.000000	0.00231834	
25.000000	4.40835   	25.000000	5.10637   	25.000000	4.99102   	25.000000	5.10775   	25.000000	5.10414   	25.000000	0.00223479	
27.000000	4.15515   	27.000000	4.81294   	27.000000	4.70908   	27.000000	4.82142   	27.000000	4.81085   	27.000000	0.00208528	
29.000000	3.93249   	29.000000	4.55396   	29.000000	4.46364   	29.000000	4.5712    	29.000000	4.55201   	29.000000	0.00195533	
31.000000	3.73507   	31.000000	4.32371   	31.000000	4.24638   	31.000000	4.34395   	31.000000	4.32187   	31.000000	0.00184128	
33.000000	3.55877   	33.000000	4.11765   	33.000000	4.05028   	33.000000	4.13463   	33.000000	4.11591   	33.000000	0.00174034	
35.000000	3.40031   	35.000000	3.93217   	35.000000	3.87306   	35.000000	3.94653   	35.000000	3.93051   	35.000000	0.00165035	
38.000000	3.19049   	38.000000	3.68623   	38.000000	3.63741   	38.000000	3.69757   	38.000000	3.6847    	38.000000	0.00153223	
41.000000	3.00815   	41.000000	3.47231   	41.000000	3.43194   	41.000000	3.48141   	41.000000	3.47088   	41.000000	0.00143054	
44.000000	2.84815   	44.000000	3.28454   	44.000000	3.25097   	44.000000	3.29192   	44.000000	3.28319   	44.000000	0.00134204	
47.000000	2.70655   	47.000000	3.11837   	47.000000	3.09079   	47.000000	3.12443   	47.000000	3.11711   	47.000000	0.00126427	
